CH4,2021/01,2.01,ppm,
CH4,2021/02,2.02,ppm,
CH4,2021/03,2.02,ppm,
CH4,2021/04,1.98,ppm,
CH4,2021/05,1.86,ppm,
CH4,2021/06,1.86,ppm,
CH4,2021/07,1.85,ppm,
CH4,2021/08,1.92,ppm,
CH4,2021/09,1.95,ppm,
CH4,2021/10,2.03,ppm,
CH4,2021/11,2.05,ppm,
CH4,2021/12,2.07,ppm,
CO,2021/01,0.65,ppm,
CO,2021/02,0.57,ppm,
CO,2021/03,0.56,ppm,
CO,2021/04,0.44,ppm,
CO,2021/05,0.28,ppm,
CO,2021/06,0.32,ppm,
CO,2021/07,0.28,ppm,
CO,2021/08,0.35,ppm,
CO,2021/09,0.35,ppm,
CO,2021/10,0.44,ppm,
CO,2021/11,0.48,ppm,
CO,2021/12,0.58,ppm,
NMHC,2021/01,0.19,ppm,
NMHC,2021/02,0.15,ppm,
NMHC,2021/03,0.16,ppm,
NMHC,2021/04,0.11,ppm,
NMHC,2021/05,0.08,ppm,
NMHC,2021/06,0.12,ppm,
NMHC,2021/07,0.08,ppm,
NMHC,2021/08,0.1,ppm,
NMHC,2021/09,0.09,ppm,
NMHC,2021/10,0.12,ppm,
NMHC,2021/11,0.15,ppm,
NMHC,2021/12,0.18,ppm,
NO,2021/01,5.92,ppb,
NO,2021/02,3.96,ppb,
NO,2021/03,4.57,ppb,
NO,2021/04,3.16,ppb,
NO,2021/05,3.6,ppb,
NO,2021/06,3.89,ppb,
NO,2021/07,3.92,ppb,
NO,2021/08,5.07,ppb,
NO,2021/09,2.5,ppb,
NO,2021/10,3.22,ppb,
NO,2021/11,3.11,ppb,
NO,2021/12,4.84,ppb,
NO2,2021/01,25.33,ppb,
NO2,2021/02,22.34,ppb,
NO2,2021/03,20.47,ppb,
NO2,2021/04,16.16,ppb,
NO2,2021/05,11.01,ppb,
NO2,2021/06,11.19,ppb,
NO2,2021/07,9.9,ppb,
NO2,2021/08,11.1,ppb,
NO2,2021/09,10.67,ppb,
NO2,2021/10,15.47,ppb,
NO2,2021/11,20.5,ppb,
NO2,2021/12,22.88,ppb,
NOx,2021/01,31.3,ppb,
NOx,2021/02,26.35,ppb,
NOx,2021/03,25.09,ppb,
NOx,2021/04,19.37,ppb,
NOx,2021/05,14.67,ppb,
NOx,2021/06,15.14,ppb,
NOx,2021/07,13.86,ppb,
NOx,2021/08,16.22,ppb,
NOx,2021/09,13.21,ppb,
NOx,2021/10,18.74,ppb,
NOx,2021/11,23.66,ppb,
NOx,2021/12,27.77,ppb,
O3,2021/01,24.77,ppb,
O3,2021/02,33.25,ppb,
O3,2021/03,30.15,ppb,
O3,2021/04,39.79,ppb,
O3,2021/05,19.79,ppb,
O3,2021/06,17.42,ppb,
O3,2021/07,18.22,ppb,
O3,2021/08,16.51,ppb,
O3,2021/09,28.19,ppb,
O3,2021/10,34.73,ppb,
O3,2021/11,32.68,ppb,
O3,2021/12,27.82,ppb,
PM10,2021/01,66.1,μg/m3,
PM10,2021/02,60.3,μg/m3,
PM10,2021/03,61.4,μg/m3,
PM10,2021/04,51.7,μg/m3,
PM10,2021/05,26.5,μg/m3,
PM10,2021/06,17.5,μg/m3,
PM10,2021/07,19.8,μg/m3,
PM10,2021/08,20.2,μg/m3,
PM10,2021/09,25.4,μg/m3,
PM10,2021/10,39.5,μg/m3,
PM10,2021/11,54.2,μg/m3,
PM10,2021/12,60.9,μg/m3,
PM2.5,2021/01,39.2,μg/m3,
PM2.5,2021/02,36,μg/m3,
PM2.5,2021/03,34.4,μg/m3,
PM2.5,2021/04,26.8,μg/m3,
PM2.5,2021/05,12.5,μg/m3,
PM2.5,2021/06,7.8,μg/m3,
PM2.5,2021/07,7.9,μg/m3,
PM2.5,2021/08,8.8,μg/m3,
PM2.5,2021/09,12.1,μg/m3,
PM2.5,2021/10,17.2,μg/m3,
PM2.5,2021/11,23.4,μg/m3,
PM2.5,2021/12,28.9,μg/m3,
SO2,2021/01,2.43,ppb,
SO2,2021/02,2.23,ppb,
SO2,2021/03,2.45,ppb,
SO2,2021/04,2.62,ppb,
SO2,2021/05,2.27,ppb,
SO2,2021/06,1.89,ppb,
SO2,2021/07,1.55,ppb,
SO2,2021/08,2.03,ppb,
SO2,2021/09,2.41,ppb,
SO2,2021/10,2.35,ppb,
SO2,2021/11,2.57,ppb,
SO2,2021/12,2.63,ppb,
THC,2021/01,2.21,ppm,
THC,2021/02,2.18,ppm,
THC,2021/03,2.19,ppm,
THC,2021/04,2.1,ppm,
THC,2021/05,1.95,ppm,
THC,2021/06,1.98,ppm,
THC,2021/07,1.94,ppm,
THC,2021/08,2.03,ppm,
THC,2021/09,2.04,ppm,
THC,2021/10,2.16,ppm,
THC,2021/11,2.21,ppm,
THC,2021/12,2.26,ppm,
